OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,TotalAmount,PaymentMethod,Country
1000040,CUST0779,2025-03-23,Laptop,Electronics,2,799.99,1599.98,PayPal,UK
1000041,CUST0244,2025-04-15,Monitor,Electronics,3,199.99,599.97,PayPal,USA
1000042,CUST0267,2024-12-18,Desk Chair,Furniture,4,129.99,519.96,UPI,Germany
1000043,CUST0678,2025-01-20,Monitor,Electronics,1,199.99,199.99,Credit Card,Germany
1000044,CUST0820,2025-01-31,Air Fryer,Appliances,2,99.99,199.98,UPI,France
1000045,CUST0116,2024-12-24,Headphones,Electronics,2,89.99,179.98,Credit Card,UK
1000046,CUST0413,2025-01-20,Headphones,Electronics,4,89.99,359.96,PayPal,Germany
1000047,CUST0122,2024-12-28,Monitor,Electronics,4,199.99,799.96,Debit Card,India
1000048,CUST0409,2025-01-29,Air Fryer,Appliances,1,99.99,99.99,Credit Card,Germany
1000049,CUST0630,2025-04-03,Smartphone,Electronics,3,599.49,1798.47,Credit Card,USA
1000050,CUST0158,2025-02-13,Smartphone,Electronics,2,599.49,1198.98,UPI,UK
1000051,CUST0057,2025-02-14,Tablet,Electronics,2,299.99,599.98,Credit Card,Germany
1000052,CUST0427,2025-01-16,Headphones,Electronics,5,89.99,449.95,Credit Card,Germany
1000053,CUST0404,2025-01-27,Headphones,Electronics,5,89.99,449.95,PayPal,Canada
1000054,CUST0371,2025-05-27,Monitor,Electronics,1,199.99,199.99,PayPal,Canada
1000055,CUST0427,2025-04-05,Tablet,Electronics,1,299.99,299.99,PayPal,UK
1000056,CUST0630,2025-03-29,Tablet,Electronics,2,299.99,599.98,Debit Card,France
1000057,CUST0120,2025-01-09,Tablet,Electronics,3,299.99,899.97,UPI,USA
1000058,CUST0539,2025-04-20,Laptop,Electronics,1,799.99,799.99,PayPal,USA
1000059,CUST0604,2025-01-08,Coffee Maker,Appliances,5,59.99,299.95,Credit Card,Canada
1000060,CUST0800,2025-02-16,Tablet,Electronics,3,299.99,899.97,Debit Card,USA
1000061,CUST0993,2025-06-06,Desk Chair,Furniture,5,129.99,649.95,PayPal,Canada
1000062,CUST0442,2025-04-04,Desk Chair,Furniture,2,129.99,259.98,PayPal,Canada
1000063,CUST0688,2025-03-20,Headphones,Electronics,1,89.99,89.99,PayPal,France
1000064,CUST0780,2025-04-12,Bookshelf,Furniture,5,89.99,449.95,UPI,India
1000065,CUST0351,2025-05-10,Headphones,Electronics,2,89.99,179.98,Debit Card,France
1000066,CUST0827,2025-04-28,Tablet,Electronics,3,299.99,899.97,PayPal,Canada
1000067,CUST0088,2025-01-20,Headphones,Electronics,5,89.99,449.95,PayPal,India
1000068,CUST0141,2024-12-15,Desk Chair,Furniture,2,129.99,259.98,UPI,India
1000069,CUST0184,2025-02-04,Smartphone,Electronics,3,599.49,1798.47,Credit Card,Germany
1000070,CUST0253,2025-01-27,Laptop,Electronics,4,799.99,3199.96,Debit Card,USA
1000071,CUST0401,2025-01-16,Desk Chair,Furniture,2,129.99,259.98,Credit Card,India
1000072,CUST0736,2025-05-28,Bookshelf,Furniture,4,89.99,359.96,PayPal,Germany
1000073,CUST0314,2025-05-16,Tablet,Electronics,1,299.99,299.99,Credit Card,UK
1000074,CUST0177,2025-02-04,Tablet,Electronics,3,299.99,899.97,Credit Card,India
1000075,CUST0650,2025-04-06,Air Fryer,Appliances,5,99.99,499.95,PayPal,Germany
1000076,CUST0416,2025-02-19,Laptop,Electronics,3,799.99,2399.97,Credit Card,Canada
1000077,CUST0111,2025-05-23,Headphones,Electronics,4,89.99,359.96,Debit Card,Germany
1000078,CUST0854,2025-03-02,Tablet,Electronics,3,299.99,899.97,Credit Card,India
1000079,CUST0080,2025-01-26,Headphones,Electronics,4,89.99,359.96,PayPal,Canada
1000080,CUST0448,2025-01-23,Coffee Maker,Appliances,3,59.99,179.97,Credit Card,Canada
1000081,CUST0270,2025-03-21,Air Fryer,Appliances,4,99.99,399.96,UPI,Germany
1000082,CUST0081,2025-01-26,Monitor,Electronics,3,199.99,599.97,UPI,Canada
1000083,CUST0164,2025-03-25,Headphones,Electronics,5,89.99,449.95,Debit Card,Germany
1000084,CUST0733,2025-05-20,Monitor,Electronics,5,199.99,999.95,PayPal,France
1000085,CUST0771,2025-02-19,Monitor,Electronics,5,199.99,999.95,UPI,India
1000086,CUST0329,2025-01-18,Laptop,Electronics,3,799.99,2399.97,Credit Card,Germany
1000087,CUST0342,2025-06-07,Air Fryer,Appliances,2,99.99,199.98,UPI,France
1000088,CUST0476,2025-03-11,Bookshelf,Furniture,4,89.99,359.96,UPI,USA
1000089,CUST0673,2024-12-26,Tablet,Electronics,2,299.99,599.98,Credit Card,UK
1000090,CUST0781,2024-12-18,Air Fryer,Appliances,4,99.99,399.96,UPI,France
1000091,CUST0808,2024-12-29,Monitor,Electronics,2,199.99,399.98,PayPal,France
1000092,CUST0153,2025-04-01,Vacuum Cleaner,Appliances,4,149.99,599.96,UPI,UK
1000093,CUST0016,2025-05-01,Monitor,Electronics,2,199.99,399.98,UPI,France
1000094,CUST0145,2025-02-23,Laptop,Electronics,5,799.99,3999.95,UPI,Canada
1000095,CUST0247,2024-12-21,Headphones,Electronics,4,89.99,359.96,PayPal,India
1000096,CUST0508,2025-02-16,Tablet,Electronics,3,299.99,899.97,Debit Card,USA
1000097,CUST0181,2025-06-07,Tablet,Electronics,4,299.99,1199.96,Debit Card,Germany
1000098,CUST0291,2025-03-15,Air Fryer,Appliances,1,99.99,99.99,Debit Card,India
1000099,CUST0158,2025-06-02,Air Fryer,Appliances,1,99.99,99.99,Credit Card,UK
1000100,CUST0283,2025-05-13,Smartphone,Electronics,1,599.49,599.49,Credit Card,USA
1000101,CUST0738,2024-12-12,Monitor,Electronics,4,199.99,799.96,UPI,Germany
1000102,CUST0938,2025-04-18,Smartphone,Electronics,4,599.49,2397.96,PayPal,Canada
1000103,CUST1000,2025-04-11,Coffee Maker,Appliances,1,59.99,59.99,PayPal,Canada
1000104,CUST0891,2025-03-16,Desk Chair,Furniture,4,129.99,519.96,Debit Card,France
1000105,CUST0078,2025-01-27,Bookshelf,Furniture,3,89.99,269.97,Credit Card,USA
1000106,CUST0849,2025-04-04,Smartphone,Electronics,3,599.49,1798.47,Credit Card,India
1000107,CUST0329,2024-12-30,Coffee Maker,Appliances,3,59.99,179.97,PayPal,USA
1000108,CUST0497,2025-02-26,Coffee Maker,Appliances,5,59.99,299.95,Credit Card,Canada
1000109,CUST0966,2025-03-01,Headphones,Electronics,1,89.99,89.99,Debit Card,Germany
1000110,CUST0394,2025-05-30,Bookshelf,Furniture,4,89.99,359.96,Debit Card,France
1000111,CUST0022,2025-05-16,Laptop,Electronics,3,799.99,2399.97,UPI,France
1000112,CUST0660,2025-01-26,Headphones,Electronics,3,89.99,269.97,PayPal,UK
1000113,CUST0283,2025-03-10,Monitor,Electronics,1,199.99,199.99,UPI,Canada
1000114,CUST0877,2025-01-11,Vacuum Cleaner,Appliances,5,149.99,749.95,PayPal,UK
1000115,CUST0385,2025-05-23,Laptop,Electronics,4,799.99,3199.96,UPI,USA
1000116,CUST0482,2025-05-15,Laptop,Electronics,4,799.99,3199.96,Debit Card,France
1000117,CUST0133,2025-02-01,Vacuum Cleaner,Appliances,4,149.99,599.96,UPI,India
1000118,CUST0068,2025-04-04,Smartphone,Electronics,4,599.49,2397.96,Debit Card,UK
1000119,CUST0422,2025-03-29,Bookshelf,Furniture,1,89.99,89.99,PayPal,Germany
1000120,CUST0465,2025-01-06,Air Fryer,Appliances,5,99.99,499.95,PayPal,France
1000121,CUST0571,2025-04-26,Desk Chair,Furniture,3,129.99,389.97,PayPal,India
1000122,CUST0598,2025-03-17,Air Fryer,Appliances,5,99.99,499.95,PayPal,Germany
1000123,CUST0717,2025-04-29,Coffee Maker,Appliances,2,59.99,119.98,Credit Card,France
1000124,CUST0103,2025-03-15,Tablet,Electronics,3,299.99,899.97,Debit Card,UK
1000125,CUST0895,2024-12-10,Laptop,Electronics,4,799.99,3199.96,Debit Card,France
1000126,CUST0863,2025-02-06,Coffee Maker,Appliances,5,59.99,299.95,PayPal,USA
1000127,CUST0583,2024-12-13,Smartphone,Electronics,5,599.49,2997.45,UPI,USA
1000128,CUST0366,2025-05-26,Headphones,Electronics,2,89.99,179.98,PayPal,UK
1000129,CUST0631,2025-05-17,Vacuum Cleaner,Appliances,4,149.99,599.96,Credit Card,Germany
1000130,CUST1000,2025-05-08,Coffee Maker,Appliances,2,59.99,119.98,Debit Card,Germany
1000131,CUST0747,2025-02-03,Bookshelf,Furniture,2,89.99,179.98,Credit Card,USA
1000132,CUST0280,2024-12-20,Monitor,Electronics,1,199.99,199.99,Credit Card,Canada
1000133,CUST0137,2025-05-17,Air Fryer,Appliances,2,99.99,199.98,UPI,France
1000134,CUST0980,2025-05-29,Smartphone,Electronics,2,599.49,1198.98,UPI,India
1000135,CUST0911,2024-12-25,Bookshelf,Furniture,2,89.99,179.98,Credit Card,UK
1000136,CUST0327,2025-03-07,Vacuum Cleaner,Appliances,3,149.99,449.97,PayPal,UK
1000137,CUST0548,2024-12-22,Desk Chair,Furniture,1,129.99,129.99,UPI,Canada
1000138,CUST0262,2025-04-25,Vacuum Cleaner,Appliances,5,149.99,749.95,Debit Card,Germany
1000139,CUST0808,2025-04-26,Smartphone,Electronics,5,599.49,2997.45,Credit Card,Germany
1000140,CUST0965,2025-01-02,Smartphone,Electronics,5,599.49,2997.45,UPI,UK
1000141,CUST0086,2025-03-05,Smartphone,Electronics,3,599.49,1798.47,Credit Card,France
1000142,CUST0788,2025-03-18,Laptop,Electronics,5,799.99,3999.95,Debit Card,USA
1000143,CUST0916,2025-01-26,Headphones,Electronics,3,89.99,269.97,Debit Card,France
1000144,CUST0080,2025-05-16,Coffee Maker,Appliances,3,59.99,179.97,PayPal,Canada
1000145,CUST0977,2025-02-24,Headphones,Electronics,4,89.99,359.96,UPI,France
1000146,CUST0799,2025-01-17,Laptop,Electronics,4,799.99,3199.96,PayPal,France
1000147,CUST0734,2025-03-17,Monitor,Electronics,4,199.99,799.96,PayPal,USA
1000148,CUST0661,2025-04-20,Air Fryer,Appliances,5,99.99,499.95,Credit Card,USA
1000149,CUST0503,2025-01-15,Desk Chair,Furniture,4,129.99,519.96,PayPal,India
1000150,CUST0070,2025-02-04,Smartphone,Electronics,5,599.49,2997.45,Debit Card,Germany
1000151,CUST0864,2025-06-07,Tablet,Electronics,4,299.99,1199.96,Debit Card,India
1000152,CUST0098,2025-04-05,Monitor,Electronics,1,199.99,199.99,Debit Card,India
1000153,CUST0423,2025-02-26,Tablet,Electronics,4,299.99,1199.96,PayPal,France
1000154,CUST0772,2025-03-13,Laptop,Electronics,2,799.99,1599.98,Debit Card,Canada
1000155,CUST0331,2024-12-31,Tablet,Electronics,3,299.99,899.97,Credit Card,USA
1000156,CUST0220,2025-01-19,Air Fryer,Appliances,1,99.99,99.99,Debit Card,Canada
1000157,CUST0457,2025-02-08,Smartphone,Electronics,2,599.49,1198.98,UPI,UK
1000158,CUST0544,2025-03-25,Air Fryer,Appliances,2,99.99,199.98,PayPal,India
1000159,CUST0426,2025-01-20,Laptop,Electronics,4,799.99,3199.96,Debit Card,USA
1000160,CUST0145,2025-01-18,Coffee Maker,Appliances,3,59.99,179.97,Debit Card,France
1000161,CUST0070,2024-12-22,Smartphone,Electronics,4,599.49,2397.96,PayPal,Germany
1000162,CUST0171,2025-04-02,Laptop,Electronics,2,799.99,1599.98,Credit Card,France
1000163,CUST0041,2025-01-20,Smartphone,Electronics,4,599.49,2397.96,UPI,India
1000164,CUST0060,2025-05-21,Desk Chair,Furniture,4,129.99,519.96,Credit Card,UK
1000165,CUST0288,2025-05-13,Coffee Maker,Appliances,3,59.99,179.97,UPI,Canada
1000166,CUST0388,2024-12-22,Tablet,Electronics,3,299.99,899.97,PayPal,India
1000167,CUST0661,2025-01-21,Air Fryer,Appliances,5,99.99,499.95,UPI,Canada
1000168,CUST0614,2025-04-09,Desk Chair,Furniture,1,129.99,129.99,Debit Card,France
1000169,CUST0868,2025-01-17,Monitor,Electronics,4,199.99,799.96,Credit Card,USA
1000170,CUST0908,2025-01-02,Tablet,Electronics,2,299.99,599.98,Debit Card,UK
1000171,CUST0809,2025-05-27,Vacuum Cleaner,Appliances,2,149.99,299.98,PayPal,India
1000172,CUST0809,2025-03-22,Coffee Maker,Appliances,3,59.99,179.97,PayPal,Canada
1000173,CUST0715,2025-03-05,Headphones,Electronics,5,89.99,449.95,Debit Card,India
1000174,CUST0239,2025-04-30,Vacuum Cleaner,Appliances,3,149.99,449.97,Debit Card,France
1000175,CUST0177,2025-05-04,Air Fryer,Appliances,3,99.99,299.97,UPI,Canada
1000176,CUST0337,2025-01-13,Laptop,Electronics,2,799.99,1599.98,UPI,UK
1000177,CUST0509,2024-12-27,Monitor,Electronics,5,199.99,999.95,UPI,Germany
1000178,CUST0683,2025-02-25,Vacuum Cleaner,Appliances,4,149.99,599.96,Debit Card,UK
1000179,CUST0429,2025-02-24,Monitor,Electronics,4,199.99,799.96,PayPal,USA
1000180,CUST0875,2025-03-04,Headphones,Electronics,1,89.99,89.99,PayPal,UK
1000181,CUST0650,2025-04-20,Monitor,Electronics,5,199.99,999.95,Debit Card,USA
1000182,CUST0071,2025-04-10,Desk Chair,Furniture,2,129.99,259.98,PayPal,USA
1000183,CUST0564,2025-06-05,Tablet,Electronics,1,299.99,299.99,Debit Card,Canada
1000184,CUST0512,2024-12-27,Smartphone,Electronics,2,599.49,1198.98,UPI,India
1000185,CUST0651,2025-02-20,Smartphone,Electronics,5,599.49,2997.45,Credit Card,India
1000186,CUST0706,2025-02-09,Laptop,Electronics,5,799.99,3999.95,Credit Card,USA
1000187,CUST0508,2025-05-14,Vacuum Cleaner,Appliances,4,149.99,599.96,UPI,UK
1000188,CUST0425,2025-01-23,Monitor,Electronics,1,199.99,199.99,Credit Card,India
1000189,CUST0721,2025-01-13,Coffee Maker,Appliances,5,59.99,299.95,Debit Card,India
1000190,CUST0535,2025-02-28,Air Fryer,Appliances,1,99.99,99.99,PayPal,France
1000191,CUST0289,2025-02-23,Vacuum Cleaner,Appliances,2,149.99,299.98,Credit Card,India
1000192,CUST0623,2025-01-29,Desk Chair,Furniture,2,129.99,259.98,Debit Card,Germany
1000193,CUST0776,2025-01-23,Smartphone,Electronics,4,599.49,2397.96,UPI,USA
1000194,CUST0308,2025-05-25,Monitor,Electronics,4,199.99,799.96,Debit Card,UK
1000195,CUST0139,2025-02-27,Coffee Maker,Appliances,4,59.99,239.96,PayPal,USA
1000196,CUST0341,2025-05-14,Air Fryer,Appliances,3,99.99,299.97,Credit Card,Germany
1000197,CUST0734,2025-03-19,Desk Chair,Furniture,5,129.99,649.95,PayPal,Germany
1000198,CUST0944,2024-12-19,Headphones,Electronics,1,89.99,89.99,UPI,USA
1000199,CUST0692,2025-06-07,Laptop,Electronics,1,799.99,799.99,PayPal,USA
1000200,CUST0911,2025-05-09,Air Fryer,Appliances,3,99.99,299.97,Debit Card,UK
1000201,CUST0259,2025-06-02,Coffee Maker,Appliances,3,59.99,179.97,UPI,India
1000202,CUST0710,2025-05-25,Coffee Maker,Appliances,2,59.99,119.98,UPI,India
1000203,CUST0500,2025-05-11,Coffee Maker,Appliances,3,59.99,179.97,Debit Card,Canada
1000204,CUST0769,2025-01-08,Headphones,Electronics,4,89.99,359.96,Debit Card,Canada
1000205,CUST0859,2025-03-07,Laptop,Electronics,5,799.99,3999.95,UPI,Germany
1000206,CUST0628,2025-01-17,Smartphone,Electronics,2,599.49,1198.98,Debit Card,France
1000207,CUST0696,2025-02-20,Bookshelf,Furniture,2,89.99,179.98,Debit Card,Canada
1000208,CUST0558,2024-12-20,Headphones,Electronics,4,89.99,359.96,Debit Card,India
1000209,CUST0633,2025-02-16,Vacuum Cleaner,Appliances,1,149.99,149.99,Credit Card,UK
1000210,CUST0311,2025-06-05,Desk Chair,Furniture,3,129.99,389.97,UPI,UK
1000211,CUST0185,2025-01-26,Coffee Maker,Appliances,3,59.99,179.97,UPI,Canada
1000212,CUST0790,2025-04-30,Coffee Maker,Appliances,2,59.99,119.98,Debit Card,UK
1000213,CUST0945,2025-03-01,Desk Chair,Furniture,2,129.99,259.98,UPI,USA
1000214,CUST0258,2025-02-24,Laptop,Electronics,5,799.99,3999.95,PayPal,France
1000215,CUST0472,2025-05-31,Tablet,Electronics,2,299.99,599.98,PayPal,France
1000216,CUST0555,2025-06-07,Laptop,Electronics,2,799.99,1599.98,Credit Card,USA
1000217,CUST0950,2025-03-20,Bookshelf,Furniture,1,89.99,89.99,Credit Card,Canada
1000218,CUST0079,2025-04-18,Vacuum Cleaner,Appliances,1,149.99,149.99,PayPal,Canada
1000219,CUST0540,2025-01-06,Headphones,Electronics,5,89.99,449.95,PayPal,Germany
1000220,CUST0811,2025-02-01,Desk Chair,Furniture,2,129.99,259.98,Credit Card,France
1000221,CUST0322,2025-06-02,Headphones,Electronics,3,89.99,269.97,Debit Card,Canada
1000222,CUST0469,2025-03-24,Coffee Maker,Appliances,2,59.99,119.98,Credit Card,Canada
1000223,CUST0003,2025-03-17,Smartphone,Electronics,1,599.49,599.49,PayPal,India
1000224,CUST0989,2025-04-23,Laptop,Electronics,1,799.99,799.99,UPI,Canada
1000225,CUST0806,2024-12-20,Bookshelf,Furniture,2,89.99,179.98,Debit Card,Canada
1000226,CUST0305,2025-03-25,Headphones,Electronics,5,89.99,449.95,Debit Card,France
1000227,CUST0227,2025-03-10,Coffee Maker,Appliances,2,59.99,119.98,Credit Card,Canada
1000228,CUST0073,2025-05-12,Monitor,Electronics,4,199.99,799.96,Credit Card,India
1000229,CUST0348,2025-01-07,Vacuum Cleaner,Appliances,3,149.99,449.97,Credit Card,India
1000230,CUST0564,2025-05-31,Laptop,Electronics,4,799.99,3199.96,PayPal,France
1000231,CUST0638,2024-12-24,Air Fryer,Appliances,4,99.99,399.96,Credit Card,USA
1000232,CUST0169,2025-01-12,Tablet,Electronics,3,299.99,899.97,Credit Card,Canada
1000233,CUST0488,2025-03-27,Headphones,Electronics,3,89.99,269.97,PayPal,Canada
1000234,CUST0131,2025-04-10,Headphones,Electronics,3,89.99,269.97,Debit Card,Canada
1000235,CUST0995,2025-01-21,Bookshelf,Furniture,3,89.99,269.97,PayPal,India
1000236,CUST0988,2024-12-31,Desk Chair,Furniture,2,129.99,259.98,Debit Card,Canada
1000237,CUST0691,2025-05-19,Laptop,Electronics,2,799.99,1599.98,UPI,India
1000238,CUST0470,2025-01-23,Bookshelf,Furniture,1,89.99,89.99,UPI,USA
1000239,CUST0635,2025-03-27,Desk Chair,Furniture,1,129.99,129.99,Debit Card,France
1000240,CUST0742,2025-03-31,Desk Chair,Furniture,2,129.99,259.98,Credit Card,Canada
1000241,CUST0851,2025-02-23,Desk Chair,Furniture,2,129.99,259.98,Credit Card,France
1000242,CUST0699,2025-03-25,Coffee Maker,Appliances,2,59.99,119.98,Debit Card,France
1000243,CUST0724,2025-03-14,Tablet,Electronics,4,299.99,1199.96,Credit Card,India
1000244,CUST0279,2025-05-27,Monitor,Electronics,2,199.99,399.98,Credit Card,USA
1000245,CUST0470,2025-01-15,Bookshelf,Furniture,2,89.99,179.98,UPI,Germany
1000246,CUST0798,2025-04-17,Laptop,Electronics,1,799.99,799.99,UPI,India
1000247,CUST0007,2025-01-21,Desk Chair,Furniture,4,129.99,519.96,PayPal,India
1000248,CUST0652,2025-02-19,Headphones,Electronics,2,89.99,179.98,Credit Card,India
1000249,CUST0625,2025-04-09,Bookshelf,Furniture,1,89.99,89.99,Credit Card,Germany
1000250,CUST0871,2025-02-01,Monitor,Electronics,4,199.99,799.96,UPI,USA
1000251,CUST0450,2025-02-04,Laptop,Electronics,5,799.99,3999.95,Credit Card,USA
1000252,CUST0963,2025-04-24,Smartphone,Electronics,4,599.49,2397.96,PayPal,France
1000253,CUST0189,2024-12-23,Air Fryer,Appliances,5,99.99,499.95,UPI,India
1000254,CUST0194,2025-03-02,Monitor,Electronics,5,199.99,999.95,PayPal,USA
1000255,CUST0053,2025-06-07,Laptop,Electronics,5,799.99,3999.95,UPI,India
1000256,CUST0842,2025-06-07,Vacuum Cleaner,Appliances,4,149.99,599.96,Credit Card,Canada
1000257,CUST0428,2024-12-23,Laptop,Electronics,3,799.99,2399.97,Credit Card,Canada
1000258,CUST0495,2025-01-17,Laptop,Electronics,2,799.99,1599.98,UPI,USA
1000259,CUST0672,2025-01-26,Vacuum Cleaner,Appliances,5,149.99,749.95,Debit Card,France
1000260,CUST0238,2025-05-26,Laptop,Electronics,1,799.99,799.99,PayPal,Canada
1000261,CUST0841,2025-05-17,Tablet,Electronics,2,299.99,599.98,Credit Card,India
1000262,CUST0712,2025-05-17,Desk Chair,Furniture,1,129.99,129.99,Credit Card,UK
1000263,CUST0555,2025-02-14,Headphones,Electronics,5,89.99,449.95,Credit Card,UK
1000264,CUST0242,2025-01-07,Desk Chair,Furniture,3,129.99,389.97,Debit Card,UK
1000265,CUST0318,2025-05-09,Headphones,Electronics,3,89.99,269.97,Debit Card,UK
1000266,CUST0464,2025-04-15,Headphones,Electronics,5,89.99,449.95,UPI,UK
1000267,CUST0048,2025-03-30,Tablet,Electronics,1,299.99,299.99,Credit Card,France
1000268,CUST0635,2025-06-05,Desk Chair,Furniture,2,129.99,259.98,UPI,USA
1000269,CUST0604,2025-04-06,Bookshelf,Furniture,4,89.99,359.96,UPI,USA
1000270,CUST0361,2024-12-11,Headphones,Electronics,3,89.99,269.97,UPI,France
1000271,CUST0642,2025-05-06,Air Fryer,Appliances,4,99.99,399.96,Debit Card,India
1000272,CUST0609,2025-02-01,Vacuum Cleaner,Appliances,5,149.99,749.95,PayPal,UK
1000273,CUST0728,2025-04-08,Coffee Maker,Appliances,4,59.99,239.96,UPI,Canada
1000274,CUST0814,2025-05-28,Vacuum Cleaner,Appliances,3,149.99,449.97,UPI,Canada
1000275,CUST0918,2025-01-03,Tablet,Electronics,4,299.99,1199.96,Debit Card,UK
1000276,CUST0697,2024-12-30,Coffee Maker,Appliances,5,59.99,299.95,PayPal,UK
1000277,CUST0667,2024-12-29,Coffee Maker,Appliances,5,59.99,299.95,UPI,USA
1000278,CUST0515,2025-03-19,Vacuum Cleaner,Appliances,2,149.99,299.98,UPI,Germany
1000279,CUST0999,2025-01-28,Air Fryer,Appliances,1,99.99,99.99,UPI,Canada
1000280,CUST0354,2025-03-28,Headphones,Electronics,1,89.99,89.99,Credit Card,France
1000281,CUST0656,2025-04-18,Tablet,Electronics,1,299.99,299.99,Debit Card,USA
1000282,CUST0235,2025-01-15,Laptop,Electronics,4,799.99,3199.96,Debit Card,UK
1000283,CUST0249,2025-04-03,Laptop,Electronics,4,799.99,3199.96,Credit Card,USA
1000284,CUST0458,2025-01-26,Monitor,Electronics,3,199.99,599.97,PayPal,India
1000285,CUST0668,2025-03-07,Headphones,Electronics,1,89.99,89.99,UPI,USA
1000286,CUST0396,2025-05-21,Desk Chair,Furniture,1,129.99,129.99,Debit Card,Germany
1000287,CUST0298,2025-05-11,Coffee Maker,Appliances,4,59.99,239.96,Credit Card,France
1000288,CUST0982,2024-12-26,Air Fryer,Appliances,2,99.99,199.98,PayPal,UK
1000289,CUST0653,2025-02-24,Smartphone,Electronics,2,599.49,1198.98,PayPal,USA
1000290,CUST0703,2025-01-28,Vacuum Cleaner,Appliances,2,149.99,299.98,Debit Card,India
1000291,CUST0989,2024-12-10,Air Fryer,Appliances,4,99.99,399.96,Debit Card,USA
1000292,CUST0413,2025-04-27,Laptop,Electronics,3,799.99,2399.97,UPI,USA
1000293,CUST0170,2025-04-03,Vacuum Cleaner,Appliances,5,149.99,749.95,Debit Card,Canada
1000294,CUST0281,2025-01-26,Smartphone,Electronics,4,599.49,2397.96,PayPal,India
1000295,CUST0071,2025-04-22,Coffee Maker,Appliances,1,59.99,59.99,Debit Card,France
1000296,CUST0274,2025-03-19,Headphones,Electronics,5,89.99,449.95,PayPal,Canada
